scenario,year,week,hour,branch,value
NT,2025,11,0,35,-14132.876373023142
NT,2025,11,1,35,-14751.590248170796
NT,2025,11,2,35,-14259.651552634512
NT,2025,11,3,35,-14601.303409743341
NT,2025,11,4,35,-14334.255800957308
NT,2025,11,5,35,-13676.992276533947
NT,2025,11,6,35,-11718.613401716175
NT,2025,11,7,35,-11282.333296915882
NT,2025,11,8,35,-10560.167146623568
NT,2025,11,9,35,-10052.674283232762
NT,2025,11,10,35,-10485.320859438487
NT,2025,11,11,35,-10751.061191961033
NT,2025,11,12,35,-13851.775108278554
NT,2025,11,13,35,-14078.064803137524
NT,2025,11,14,35,-15059.48895148836
NT,2025,11,15,35,-15059.48895148836
NT,2025,11,16,35,-15059.48895148836
NT,2025,11,17,35,-15059.48895148836
NT,2025,11,18,35,-15059.48895148836
NT,2025,11,19,35,-12217.464613267595
NT,2025,11,20,35,-10614.932194457684
NT,2025,11,21,35,-9381.09283247189
NT,2025,11,22,35,-10445.144691789961
NT,2025,11,23,35,-10484.91699150457
NT,2025,11,24,35,-8815.0160328984
NT,2025,11,25,35,-6849.96638014918
NT,2025,11,26,35,-6013.77643792677
NT,2025,11,27,35,-6156.472917050872
NT,2025,11,28,35,-6765.25746949854
NT,2025,11,29,35,-7144.97779246016
NT,2025,11,30,35,-7084.452548990949
NT,2025,11,31,35,-7090.896657618277
NT,2025,11,32,35,-7894.065660807979
NT,2025,11,33,35,-8382.534693318932
NT,2025,11,34,35,-8927.70618423025
NT,2025,11,35,35,-9164.29408067066
NT,2025,11,36,35,-9146.263520318471
NT,2025,11,37,35,-7763.840253415526
NT,2025,11,38,35,-7967.6807104545915
NT,2025,11,39,35,-10022.150652254879
NT,2025,11,40,35,-11352.038841213332
NT,2025,11,41,35,-11943.866119618404
NT,2025,11,42,35,-13767.591636566667
NT,2025,11,43,35,-15059.48895148836
NT,2025,11,44,35,-15059.48895148836
NT,2025,11,45,35,-11298.814348245782
NT,2025,11,46,35,-10070.522102535982
NT,2025,11,47,35,-11079.49589463266
NT,2025,11,48,35,-12196.286319664947
NT,2025,11,49,35,-13352.31098258192
NT,2025,11,50,35,-13709.16191728013
NT,2025,11,51,35,-13521.922697569302
NT,2025,11,52,35,-13358.284735481962
NT,2025,11,53,35,-13597.028157554794
NT,2025,11,54,35,-13435.847661058557
NT,2025,11,55,35,-12194.927805677078
NT,2025,11,56,35,-11230.741770620813
NT,2025,11,57,35,-12415.584308270392
NT,2025,11,58,35,-13438.370741371475
NT,2025,11,59,35,-13393.224857963169
NT,2025,11,60,35,-13913.705659231566
NT,2025,11,61,35,-13786.530858648846
NT,2025,11,62,35,-13071.361174217227
NT,2025,11,63,35,-12242.172610050095
NT,2025,11,64,35,-11924.476251776483
NT,2025,11,65,35,-11340.435053895297
NT,2025,11,66,35,-10014.082435746564
NT,2025,11,67,35,-9923.203150466237
NT,2025,11,68,35,-10076.559734879987
NT,2025,11,69,35,-9854.169445230045
NT,2025,11,70,35,-9212.183765321228
NT,2025,11,71,35,-9067.737009734448
NT,2025,11,72,35,-8893.90762267014
NT,2025,11,73,35,-8749.363215583391
NT,2025,11,74,35,-8539.649415721451
NT,2025,11,75,35,-8358.358244219879
NT,2025,11,76,35,-8461.965408390706
NT,2025,11,77,35,-8084.4064380693935
NT,2025,11,78,35,-7250.899197898028
NT,2025,11,79,35,-5727.447526197957
NT,2025,11,80,35,-4666.509080516709
NT,2025,11,81,35,-4483.9426860664935
NT,2025,11,82,35,-4487.26764559144
NT,2025,11,83,35,-4607.576971195899
NT,2025,11,84,35,-5196.422845710555
NT,2025,11,85,35,-5051.764904027243
NT,2025,11,86,35,-5046.953827047541
NT,2025,11,87,35,-5066.62574621868
NT,2025,11,88,35,-4871.732495499168
NT,2025,11,89,35,-4642.710948853732
NT,2025,11,90,35,-5673.977220233703
NT,2025,11,91,35,-9948.370769882187
NT,2025,11,92,35,-10288.617260295829
NT,2025,11,93,35,-8969.547361424362
NT,2025,11,94,35,-7709.352175323458
NT,2025,11,95,35,-6029.520415219745
NT,2025,11,96,35,-4328.5975310109825
NT,2025,11,97,35,-4699.308184408451
NT,2025,11,98,35,-4779.901649703011
NT,2025,11,99,35,-4676.219353833047
NT,2025,11,100,35,-5965.329111119751
NT,2025,11,101,35,-10163.594905510414
NT,2025,11,102,35,-13875.99003503823
NT,2025,11,103,35,-13135.516583749206
NT,2025,11,104,35,-11607.805636170695
NT,2025,11,105,35,-5168.944254952571
NT,2025,11,106,35,-3751.815557219752
NT,2025,11,107,35,-3992.3324548681694
NT,2025,11,108,35,-4562.919596042539
NT,2025,11,109,35,-4555.525219668751
NT,2025,11,110,35,-4048.6095637559847
NT,2025,11,111,35,-8334.133542900612
NT,2025,11,112,35,-12868.720412978113
NT,2025,11,113,35,-12346.324879165944
NT,2025,11,114,35,-11406.650746819088
NT,2025,11,115,35,-10958.497551523655
NT,2025,11,116,35,-11096.93089068134
NT,2025,11,117,35,-11307.396761147267
NT,2025,11,118,35,-11893.973104436227
NT,2025,11,119,35,-12964.921170632593
NT,2025,11,120,35,-14351.533289304867
NT,2025,11,121,35,-12185.77076103372
NT,2025,11,122,35,-9265.258999073922
NT,2025,11,123,35,-7193.463445483778
NT,2025,11,124,35,-6193.601922353388
NT,2025,11,125,35,-6512.264971148292
NT,2025,11,126,35,-6967.757422360544
NT,2025,11,127,35,-7062.467439678327
NT,2025,11,128,35,-6836.061034556821
NT,2025,11,129,35,-6552.2179877079225
NT,2025,11,130,35,-5538.280941723021
NT,2025,11,131,35,-6816.1317218918875
NT,2025,11,132,35,-7220.364364816007
NT,2025,11,133,35,-6915.5878591793335
NT,2025,11,134,35,-7016.137207001137
NT,2025,11,135,35,-6994.149431210773
NT,2025,11,136,35,-6366.312771492989
NT,2025,11,137,35,-5441.78679320694
NT,2025,11,138,35,-9549.76928485274
NT,2025,11,139,35,-11885.962009897496
NT,2025,11,140,35,-12931.17941735969
NT,2025,11,141,35,-12078.918796344678
NT,2025,11,142,35,-11751.834279256467
NT,2025,11,143,35,-10608.785824429742
NT,2025,11,144,35,-8227.861477832937
NT,2025,11,145,35,-5826.334801805071
NT,2025,11,146,35,-6526.020270785195
NT,2025,11,147,35,-7012.409160354191
NT,2025,11,148,35,-8028.395895541154
NT,2025,11,149,35,-9151.016425345435
NT,2025,11,150,35,-7960.559111037789
NT,2025,11,151,35,-7511.210640137844
NT,2025,11,152,35,-7632.499888048869
NT,2025,11,153,35,-8445.758107309946
NT,2025,11,154,35,-6539.066984105479
NT,2025,11,155,35,-5120.981883201047
NT,2025,11,156,35,-5672.481430696143
NT,2025,11,157,35,-6927.363968250825
NT,2025,11,158,35,-9001.94153320154
NT,2025,11,159,35,-10331.053689761953
NT,2025,11,160,35,-11441.835193674622
NT,2025,11,161,35,-11559.18797899981
NT,2025,11,162,35,-10934.51461610408
NT,2025,11,163,35,-9557.996684585352
NT,2025,11,164,35,-9097.473818536677
NT,2025,11,165,35,-8402.622600242252
NT,2025,11,166,35,-6809.504727162655
NT,2025,11,167,35,-7386.8281618351875
NT,2025,21,0,35,-8443.999345936001
NT,2025,21,1,35,-8422.074135735194
NT,2025,21,2,35,-8386.201422850614
NT,2025,21,3,35,-8352.946509531317
NT,2025,21,4,35,-8471.032922659095
NT,2025,21,5,35,-8270.570610574066
NT,2025,21,6,35,-7847.5654075550265
NT,2025,21,7,35,-7738.654162513292
NT,2025,21,8,35,-8362.2364699684
NT,2025,21,9,35,-8872.161525890928
NT,2025,21,10,35,-8134.522579927797
NT,2025,21,11,35,-8563.943238138536
NT,2025,21,12,35,-8510.977934010765
NT,2025,21,13,35,-8769.998226308446
NT,2025,21,14,35,-9459.694874868113
NT,2025,21,15,35,-10637.929376452925
NT,2025,21,16,35,-12489.106363838035
NT,2025,21,17,35,-14188.963863324994
NT,2025,21,18,35,-15059.48895148836
NT,2025,21,19,35,-15059.48895148836
NT,2025,21,20,35,-15059.48895148836
NT,2025,21,21,35,-15059.48895148836
NT,2025,21,22,35,-15059.48895148836
NT,2025,21,23,35,-15059.48895148836
NT,2025,21,24,35,-15059.48895148836
NT,2025,21,25,35,-14991.462673866461
NT,2025,21,26,35,-14603.896925710771
NT,2025,21,27,35,-14065.845625800916
NT,2025,21,28,35,-13483.386867896286
NT,2025,21,29,35,-12433.049106776745
NT,2025,21,30,35,-11256.673225839935
NT,2025,21,31,35,-10097.520059016442
NT,2025,21,32,35,-10040.555825500756
NT,2025,21,33,35,-10102.38797738436
NT,2025,21,34,35,-8891.879363810907
NT,2025,21,35,35,-8241.102530758164
NT,2025,21,36,35,-5785.676224999457
NT,2025,21,37,35,-4369.84396379327
NT,2025,21,38,35,-3050.3937849264876
NT,2025,21,39,35,-3327.8735010420346
NT,2025,21,40,35,-4542.247955592109
NT,2025,21,41,35,-5279.310115332954
NT,2025,21,42,35,-9023.512407716944
NT,2025,21,43,35,-12058.593120078378
NT,2025,21,44,35,-10034.216423914322
NT,2025,21,45,35,-6851.871642084098
NT,2025,21,46,35,-7405.831370205508
NT,2025,21,47,35,-6037.0945493588215
NT,2025,21,48,35,-5234.139273442095
NT,2025,21,49,35,-4901.010757166856
NT,2025,21,50,35,-4592.719775291688
NT,2025,21,51,35,-3917.5684177867806
NT,2025,21,52,35,-4595.246602588083
NT,2025,21,53,35,-6910.7525177360385
NT,2025,21,54,35,-8178.893158175715
NT,2025,21,55,35,-2968.8105925228974
NT,2025,21,56,35,1885.6443310900204
NT,2025,21,57,35,1555.7030384791901
NT,2025,21,58,35,811.5639841054492
NT,2025,21,59,35,-83.29897736541216
NT,2025,21,60,35,-821.4483806689184
NT,2025,21,61,35,-1548.0854075084549
NT,2025,21,62,35,-2353.589814476124
NT,2025,21,63,35,-3106.3621067684007
NT,2025,21,64,35,-4310.274682648267
NT,2025,21,65,35,-4854.7774824023945
NT,2025,21,66,35,-4766.199836553125
NT,2025,21,67,35,-4386.770415635133
NT,2025,21,68,35,-4127.166579510224
NT,2025,21,69,35,-3850.085619781013
NT,2025,21,70,35,-3065.0351494406295
NT,2025,21,71,35,-2879.722683133648
NT,2025,21,72,35,-2776.750306649706
NT,2025,21,73,35,-2657.1135391595353
NT,2025,21,74,35,-2409.286456419814
NT,2025,21,75,35,-2119.518481152101
NT,2025,21,76,35,-1983.4559658028147
NT,2025,21,77,35,-4813.085805510932
NT,2025,21,78,35,-8284.235842250131
NT,2025,21,79,35,-2306.3318222324397
NT,2025,21,80,35,1249.1748915659318
NT,2025,21,81,35,855.3783424630963
NT,2025,21,82,35,727.788771709723
NT,2025,21,83,35,69.52238377266046
NT,2025,21,84,35,-163.4746751567146
NT,2025,21,85,35,-607.0632821294615
NT,2025,21,86,35,-1351.8835154111214
NT,2025,21,87,35,-2515.756664012391
NT,2025,21,88,35,-3843.6217027639977
NT,2025,21,89,35,-4385.4110108512605
NT,2025,21,90,35,-4285.243268126251
NT,2025,21,91,35,-3960.08231714386
NT,2025,21,92,35,-3844.795825830921
NT,2025,21,93,35,-3506.6485707675815
NT,2025,21,94,35,-3475.1140893200045
NT,2025,21,95,35,-2289.210211737085
NT,2025,21,96,35,-2254.3798799399938
NT,2025,21,97,35,-2591.647056040448
NT,2025,21,98,35,-3630.233720362872
NT,2025,21,99,35,-4598.0064925438455
NT,2025,21,100,35,-6772.38588007839
NT,2025,21,101,35,-9228.831710109027
NT,2025,21,102,35,-10079.457523067229
NT,2025,21,103,35,-5361.466800705959
NT,2025,21,104,35,516.16171961965
NT,2025,21,105,35,159.59991636414148
NT,2025,21,106,35,-87.95294706284574
NT,2025,21,107,35,-820.9600698146988
NT,2025,21,108,35,-1012.4866330041006
NT,2025,21,109,35,-1374.2887412907246
NT,2025,21,110,35,-2011.0655443121148
NT,2025,21,111,35,-2718.25049982365
NT,2025,21,112,35,-3491.0024413933193
NT,2025,21,113,35,-3648.9031718134256
NT,2025,21,114,35,-4264.604094522268
NT,2025,21,115,35,-9708.798672347411
NT,2025,21,116,35,-9728.402219882779
NT,2025,21,117,35,-8067.345385403634
NT,2025,21,118,35,-7993.125113037674
NT,2025,21,119,35,-6783.049147724074
NT,2025,21,120,35,-6131.889997718914
NT,2025,21,121,35,-6198.011437552756
NT,2025,21,122,35,-6702.0648880977515
NT,2025,21,123,35,-7065.855036590681
NT,2025,21,124,35,-6792.971212547649
NT,2025,21,125,35,-6935.242701867408
NT,2025,21,126,35,-8703.011912397538
NT,2025,21,127,35,-3218.3218085979015
NT,2025,21,128,35,-79.40462971558368
NT,2025,21,129,35,-133.1182776261759
NT,2025,21,130,35,212.79239383220417
NT,2025,21,131,35,-164.06209726885342
NT,2025,21,132,35,-105.80577068853736
NT,2025,21,133,35,122.4549915594321
NT,2025,21,134,35,-1806.2187815204704
NT,2025,21,135,35,-3433.110573821419
NT,2025,21,136,35,-4051.5705538707634
NT,2025,21,137,35,-3928.957890399193
NT,2025,21,138,35,-6242.920361152475
NT,2025,21,139,35,-10333.230472358518
NT,2025,21,140,35,-9831.197292551173
NT,2025,21,141,35,-8971.927067753679
NT,2025,21,142,35,-10809.567566898111
NT,2025,21,143,35,-10347.404751300664
NT,2025,21,144,35,-10535.973835580891
NT,2025,21,145,35,-10829.126938896085
NT,2025,21,146,35,-11195.263340860942
NT,2025,21,147,35,-11457.435914698275
NT,2025,21,148,35,-11858.859362758949
NT,2025,21,149,35,-11915.07323766544
NT,2025,21,150,35,-12800.071833866476
NT,2025,21,151,35,-9306.71488944942
NT,2025,21,152,35,-4166.135412835037
NT,2025,21,153,35,-3082.767753487582
NT,2025,21,154,35,-1839.0310608776012
NT,2025,21,155,35,-2361.3729691845374
NT,2025,21,156,35,-2989.372821496157
NT,2025,21,157,35,-3583.2891538705894
NT,2025,21,158,35,-5336.846391366085
NT,2025,21,159,35,-7659.278261543151
NT,2025,21,160,35,-8787.354540083727
NT,2025,21,161,35,-9243.874751841484
NT,2025,21,162,35,-9509.520561035812
NT,2025,21,163,35,-14292.534526605757
NT,2025,21,164,35,-15059.48895148836
NT,2025,21,165,35,-13889.186506818809
NT,2025,21,166,35,-13688.00336112145
NT,2025,21,167,35,-13091.822019119663
NT,2025,42,0,35,-7073.468542860411
NT,2025,42,1,35,-6996.787472452012
NT,2025,42,2,35,-6862.276356667493
NT,2025,42,3,35,-6720.194136705555
NT,2025,42,4,35,-6441.214910746304
NT,2025,42,5,35,-5840.40163345196
NT,2025,42,6,35,-5356.805635837749
NT,2025,42,7,35,-4835.270539398305
NT,2025,42,8,35,-5014.843800745068
NT,2025,42,9,35,-5338.658400987989
NT,2025,42,10,35,-5559.941529076011
NT,2025,42,11,35,-5468.822125630206
NT,2025,42,12,35,-5120.667101265637
NT,2025,42,13,35,-6168.2181444014295
NT,2025,42,14,35,-6339.100017689821
NT,2025,42,15,35,-5818.919685007337
NT,2025,42,16,35,-5644.867878749846
NT,2025,42,17,35,-5220.674025088563
NT,2025,42,18,35,-4720.223974294352
NT,2025,42,19,35,-5044.349380656284
NT,2025,42,20,35,-5491.9203399455255
NT,2025,42,21,35,-6099.690912877911
NT,2025,42,22,35,-6653.765714973216
NT,2025,42,23,35,-7078.961116396436
NT,2025,42,24,35,-6454.56450949178
NT,2025,42,25,35,-5446.958031227897
NT,2025,42,26,35,-4908.8576711854585
NT,2025,42,27,35,-4620.835035396402
NT,2025,42,28,35,-5519.9708712481315
NT,2025,42,29,35,-7879.548926422383
NT,2025,42,30,35,-7345.055026635891
NT,2025,42,31,35,-6449.256902577136
NT,2025,42,32,35,-4103.9014851118445
NT,2025,42,33,35,-1318.2621022597805
NT,2025,42,34,35,337.09195772694784
NT,2025,42,35,35,2456.8695478805303
NT,2025,42,36,35,2440.086079172797
NT,2025,42,37,35,2778.6608613117123
NT,2025,42,38,35,3138.8102525575227
NT,2025,42,39,35,3380.6045208289465
NT,2025,42,40,35,-1141.3799897613656
NT,2025,42,41,35,-6005.356701141886
NT,2025,42,42,35,-5576.950527395209
NT,2025,42,43,35,-6048.84855833616
NT,2025,42,44,35,-6131.41767568308
NT,2025,42,45,35,-3171.8281880970794
NT,2025,42,46,35,-1862.8569070359504
NT,2025,42,47,35,122.69454489649274
NT,2025,42,48,35,704.7821497204309
NT,2025,42,49,35,625.5522975703454
NT,2025,42,50,35,142.08530888272685
NT,2025,42,51,35,-431.8676831333139
NT,2025,42,52,35,-2895.086557234902
NT,2025,42,53,35,-6683.460514500678
NT,2025,42,54,35,-6745.099147913827
