Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
rf004,2025,NT,64.12,51.25
rf004,2030,NT,68.64,55.03
rf004,2040,DE,68.91,54.02
rf004,2040,GA,68.84,54.7
rf004,2040,NT,69.05,54.32
rf004,2050,DE,68.68,53.56
rf004,2050,GA,68.92,54.33
rf008,2025,NT,63.21,51.16
rf008,2030,NT,67.69,54.35
rf008,2040,DE,67.91,53.11
rf008,2040,GA,67.89,53.77
rf008,2040,NT,67.94,53.24
rf008,2050,DE,67.69,53.17
rf008,2050,GA,67.94,53.3
rf012,2025,NT,63.02,50.38
rf012,2030,NT,67.05,51.36
rf012,2040,DE,67.27,52.01
rf012,2040,GA,67.19,51.56
rf012,2040,NT,67.26,52.01
rf012,2050,DE,67.2,52.39
rf012,2050,GA,67.25,51.93
