bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name,extendable,extension_potential,new_capacity,cum_new_capacity,cum_extension_potential,total_capacity
ES1 0,CCGT,26305.331999999995,40.77238042153069,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,52610.66399999999,0.0,0.0,52610.66399999999,26305.331999999995
ES1 0,CCGT,26305.331999999995,40.77238042153069,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,52610.66399999999,0.0,0.0,105221.32799999998,26305.331999999995
ES1 0,CCGT,26305.331999999995,40.77238042153069,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,52610.66399999999,0.0,0.0,157831.99199999997,26305.331999999995
ES1 0,CCGT,26305.331999999995,40.77238042153069,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,52610.66399999999,0.0,0.0,210442.65599999996,26305.331999999995
ES1 0,coal,4739.393482733913,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,9478.786965467825,0.0,0.0,9478.786965467825,4739.393482733913
ES1 0,coal,4739.393482733913,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,9478.786965467825,0.0,0.0,18957.57393093565,4739.393482733913
ES1 0,coal,4739.393482733913,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,9478.786965467825,0.0,0.0,28436.360896403476,4739.393482733913
ES1 0,coal,4739.393482733913,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,9478.786965467825,0.0,0.0,37915.1478618713,4739.393482733913
ES1 0,offwind-ac,9274.463485690856,0.0149999999999999,184160.1194560401,0.0,#6895dd,Offshore Wind (AC),True,18548.926971381712,0.0,0.0,18548.926971381712,9274.463485690856
ES1 0,offwind-ac,9274.463485690856,0.0149999999999999,184160.1194560401,0.0,#6895dd,Offshore Wind (AC),True,18548.926971381712,0.0,0.0,37097.853942763424,9274.463485690856
ES1 0,offwind-ac,9274.463485690856,0.0149999999999999,184160.1194560401,0.0,#6895dd,Offshore Wind (AC),True,18548.926971381712,0.0,0.0,55646.780914145136,9274.463485690856
ES1 0,offwind-ac,9274.463485690856,0.0149999999999999,184160.1194560401,0.0,#6895dd,Offshore Wind (AC),True,18548.926971381712,0.0,0.0,74195.70788552685,9274.463485690856
ES1 0,onwind,26825.862669404865,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,53651.72533880973,53651.72533880973,53651.72533880973,53651.72533880973,80477.5880082146
ES1 0,onwind,26825.862669404865,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,53651.72533880973,700.0574969494628,54351.78283575919,107303.45067761946,81177.64550516405
ES1 0,onwind,26825.862669404865,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,53651.72533880973,0.0,54351.78283575919,160955.1760164292,81177.64550516405
ES1 0,onwind,26825.862669404865,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,53651.72533880973,0.0,54351.78283575919,214606.90135523892,81177.64550516405
